"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"277","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsizechunk","3S","furniture","2","0","0","0","3","",""
"281","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","1","0","setsizechunk","3S","furniture","2","1","0","1","3","",""
"347","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","2","0","setsizechunk","3S","furniture","2","2","0","1","3","",""
"685","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsizechunk","3S","furniture","2","3","0","1","3","",""
"1092","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsizechunk","3S","furniture","2","0","1","0","3","",""
"430","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsizechunk","3S","furniture","2","1","0","1","3","",""
"485","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","6","2","setsizechunk","3S","furniture","2","2","0","1","3","",""
"373","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","7","2","setsizechunk","3S","furniture","2","3","2","1","3","",""
"424","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","8","2","setsizechunk","3S","furniture","2","4","0","1","3","",""
"740","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","9","3","setsizechunk","3S","furniture","2","5","0","1","3","",""
"900","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","10","3","setsizechunk","3S","furniture","2","6","2","1","3","",""
"531","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","11","3","setsizechunk","3S","furniture","2","7","0","1","3","",""
"844","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","12","4","setsizechunk","3S","furniture","2","8","2","1","3","",""
"676","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","13","4","setsizechunk","3S","furniture","2","9","0","1","3","",""
"1109","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","14","4","setsizechunk","3S","furniture","2","10","0","1","3","",""
"1146","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","15","5","setsizechunk","3S","furniture","2","11","0","1","3","",""
